names,address1,address2,phone,opened,enrollment,grades,status,description,longitude,latitude
Passage Charter School,703 S. 9th St.,"Montrose, CO 81401",970-249-8066,1998,24,12-Sep,Open,Serves pregnant and parenting teens whose educational needs can be better served outside traditional public schools.,-107.86587,38.475129
Peak to Peak Charter School,800 Merlin Dr.,"Lafayette, CO 80026",303-453-4600,2000,1335,K-12,Open,Rigorous Core Knowledge program.,-105.081117,39.991309
Pikes Peak Prep,525 E. Costilla St.,"Colorado Springs, CO 80903",719-570-7575,2005,205,K-11,Open,Uses technology as a framework to personalize learning. Students must master each skill and subject at one level before moving up. Sponsored by the GEO Foundation. Formerly 21st Century Charter School,-104.815105,38.8275689
Pinnacle Charter School,1001 W. 84th Ave.,"Federal Heights, CO 80260",303-450-3985,1997,1550,K-12,Open,Curriculum based in the Core Knowledge Sequence.,-104.99853,39.850072
Pioneer Charter School,3230 E. 38th Ave.,"Denver, CO 80205",303-329-8412,1997,307,PreK-6,Open,"Flexible grouping, integrated learning experiences, critical and creative thinking, character education and an integrated arts curriculum. Emphasis on literacy and technology. Personal learning plans for each student.",-104.9494177,39.7690746
Platte River Academy,4085 Lark Sparrow St.,"Highlands Ranch, CO 80126",303-221-1070,1997,500,K-8,Open,Core Knowledge school.,-104.941394,39.55176
Prairie Creeks Charter School,1983 Monroe St.,"Strasburg, CO 80136",303-622-6328,1998,26,12-Sep,Open,PLATO Integrated Learning System. Students earn either a diploma or a GED.,-104.3214182,39.7383585
Provost Academy Colorado (PACO),"7730 E. Belleview Ave., Suite AG-9","Greenwood Village, CO 80111",303-770-1240,2010,200,12-Sep,Open,Virtual high school.,-104.8746508,39.6166715
Pueblo School for the Arts and Sciences,2415 Jones Ave,"Pueblo, CO 81004",719-549-2737,1994,363,K-8,Open,Program based on the Paideia model for academic excellence.,-104.640287,38.237635
Ricardo Flores Magon Charter School,7255 Irving St.,"Westminster, CO 80030",303-412-7610,2007,80,K-2,Open,College preparatory school with longer school day.,-105.030184,39.828007
Ridge View Academy Charter School,28101 E. Quincy Ave.,"Watkins, CO 80137",303-766-3000,2001,500,12-Sep,Open,"Challenges students to develop mentally, physically and spiritually. Year-round school.",-104.6791798,39.6383663
Ridgeview Classical Charter Schools,1800 S. Lemay Ave.,"Fort Collins, CO 80525",970-494-4620,2001,770,K-12,Open,"Develops the academic potential and personal character of each student through rigorous, content-rich educational programs.",-105.057016,40.5627629
Rocky Mountain Academy of Evergreen,2959 Royale Elk WAy,"Evergreen, CO 80439",303-670-1070,2001,417,PreK-8,Open,"Content-rich, sequentially arranged and intellectually challenging Core Knowledge curriculum. Includes foreign language instruction, art instruction utilizing the Monet system of drawing, outdoor education, music and character development.",-105.356776,39.659914
Rocky Mountain Classical Academy,1710 Piros Dr.,"Colorado Springs, CO 80915",719-622-8000,2006,683,K-9,Open,Core Knowledge classical curriculum.,-104.7062623,38.8614735
Rocky Mountain Deaf School,1921 Youngfield St.,"Golden, CO 80401",303-984-5749,1997,50,PreK-9,Open,"Bilingual approach, with ASL for instruction and school life and written English as the language of text. Emphasis on academic standards and English literacy.",-105.1424615,39.7453482
Roosevelt Edison Charter School,205 S. Byron Dr.,"Colorado Springs, CO 80960",719-637-0311,1996,600,K-5,Open,"Rigorous academics, technology and a longer school day.",-104.749578,38.8324334
Ross Montessori,407 Marrill Ave.,"Carbondale, CO 81623",970-963-7199,2005,185,K-8,Open,Montessori curriculum. Spanish and English language instruction.,-107.2114936,39.4040604
SkyView Academy,6161 Business Center Dr.,"Highlands Ranch, CO 80130",303-471-6677,2010,540,PreK-5,Open,,-104.9170151,39.5632935
SOAR Charter School,"4800 Telluride St., Building 4","Denver, CO 80249",720-287-5100,2010,236,K-2,Open,"SOAR empowers children to make informed, deliberate decisions so they may lead socially responsible, productive lives.",-104.7795919,39.780147
Southern Colorado Early College,278 S. McCulloch Blvd.,"Pueblo, CO 81007",719-547-1627,2008,122,12-Sep,Open,,-104.743885,38.323111
Southwest Early College,3001 S. Federal Blvd.,"Denver, CO 80236",303-935-5473,2004,300,11-Sep,Open,"Traditional core curriculum and college-level coursework. Focuses on information technologies, visual arts and athletics.",-105.029224,39.65983
Southwest Open School,401 N. Dolores,"Cortez, CO 81331",970-565-1150,1999,176,12-Sep,Open,"Utilizes experiential education with strong character, service learning and outdoor education components.",-108.555338,37.353825
"Space, Technology and Arts Academy (STAR)",2520 Airport Rd,"Colorado Springs, CO 80932",719-638-6554,2007,355,K-7,Open,"Curriculum focuses on character-building, respect and integrity. Will expand to K-8 and 600 students.",-104.7829434,38.825358
St. Vrain Community Montessori School,1055 Delaware Ave.,"Longmont, CO 80501",303-682-4339,2009,104,PreK-3,Open,Montessori curriculum.,-105.1097023,40.1551676
Stargate School,3951 Cottonwood Lakes Blvd.,"Thornton, CO 80241",303-450-3936,1994,578,K-8,Open,"Offers multi-age classes and programs that are interdisciplinary, individualized, competency-based and incorporate off-campus opportunities.",-104.9414319,39.9339864
Stone Creek Elementary School,375 Yoder Ave,"Avon, CO 81620",970-748-4535,2006,200,K-8,Open,"Will use the Core Knowledge curriculum, teach Saxon Math and will use Open Court reading for reading comprehension",-106.500539,39.6259387
Summit Middle School,4655 Hanover Ave.,"Boulder, CO 80305",303-499-9511,1994,324,8-Jun,Open,"Rigorous curriculum. Students are grouped by ability, interest and prior mastery rather than age in each of five subjects - Math, English, Science, Social Studies and Foreign Language. Electives are offered in art, music and technology.",-105.2406029,39.983057
Swallows Charter Academy,278 S. McCulloch Blvd.,"Pueblo West, CO 81007",719-547-1627,1996,180,K-8,Open,"Students develop their character and potential through academically rigorous, content-rich educational programs. Utilizes the Core Knowledge Sequence and operates with a back-to-basics philosophy.",-104.743885,38.323111
T.R. Paul Academy of Arts and Knowledge,4512 McMurry Dr.,"Fort Collins, CO 80525",970-226-2800,2006,360,K-8,Open,Core Knowledge. Integrates the arts into teaching of basic skills. Personalized learning plans. Expanding to 8 and 550 students.,-105.048138,40.524767
The Odyssey School,8750 E. 28th Ave.,"Denver, CO 80238",303-316-3944,1998,221,K-8,Open,Focus on rigorous academic curriculum and solid discipline.,-104.8867437,39.7561971
Thomas MacLaren School,303 Austin Bluffs Parkway,"Colorado Springs, CO 80918",719-313-4488,2009,310,9-Jun,Open,"Will expand to grades 6-12. Offers an award-winning classical curriculum, single sex classes in a co-ed environment, orchestra, Latin, advanced math and science, art and drama for all students.",-104.8129616,38.8977178
Twin Peaks Charter Academy,340 S. Sunset Street,"Longmont, CO 80501",720-652-8201,1997,707,K-8,Open,Core Knowledge Sequence is the primary focus of the schools curriculum. School strives to identify and develop each students full academic potential.,-105.1185027,40.15463
Two Roads High School,9255 Ralston Rd.,"Arvada, CO 80002",303-423-3377,2010,150,12-Sep,Open,"Students choose either a traditional high school route, or a part-time path with opportunities to take college classes.",-105.1012334,39.8021069
Union Colony Preparatory Middle School,2000 Clubhouse Dr.,"Greeley, CO 80634",970-673-4546,2007,326,8-Jun,Open,,-104.767892,40.406419
Union Colony Preparatory School,2000 Clubhouse Dr.,"Greeley, CO 80634",970-348-2800,1997,365,12-Jun,Open,Small college-preparatory school which prepares students for the rigors of post-secondary education.,-104.767892,40.406419
University Schools,6525 W. 18th St.,"Greeley, CO 80634",970-330-2221,2002,1003,K-12,Open,"Small class sizes, personalized education through advisor-advisee program and a Deaf and Hard of Hearing Program (DHHP).",-104.788182,40.411202
Vanguard Classical Charter School,801 Yosemite St.,"Denver, CO 80230",303-691-2384,2007,433,K-8,Open,Will expand to K-8.,-104.8869701,39.7290883
"Vanguard School, The",1605 S. Corona Ave.,"Colorado Springs, CO 80905",719-471-1999,2006,200,12-Sep,Open,"Based on the Core Knowledge Series with particular emphasis on discipline, character development, parental involvement and low student-teacher ratios.",-104.8176644,38.811387
"Vanguard School, The - Cheyenne Mountain Charter Academy High School",1832 S. Wahsatch Ave.,"Colorado Springs, CO 80905",719-471-1999,1995,732,K-8,Open,"Based on the Core Knowledge Series with particular emphasis on discipline, character development, parental involvement and low student-teacher ratios.",-104.8190939,38.8074972
Venture Prep - Park Hill,2540 Holly St.,"Denver, CO 80207",303-893-0805,2010,450,12-Jun,Open,Project-based learning and college preparatory.,-104.9222537,39.753599
Vista Charter School,"932 N. Park Ave., Suite A.","Montrose, CO 81401",970-249-4470,2004,171,12-Sep,Open,Alternative means to earn high school diplomas by utilizing technology and individualized programs.,-107.88242,38.488935
West Denver Prep- Harvey Park Campus,2250 S. Quitman St.,"Denver, CO 80212",303-962-9880,2009,120,6,Open,Expanding to 6-8. Harvey Park Campus co-located at Kunsmiller Middle School.,-105.040041,39.750936
West Denver Prep-Federal Campus,1825 S. Federal Blvd.,"Denver, CO 80219",303-573-2017,2006,200,7-Jun,Open,College preparatory program. Will expand to grade 8 and 270 students.,-105.0257309,39.684233
West Denver Preparatory Charter School - Highlands Campus,2417 West 29th Ave.,"Denver, CO 80211",303-630-0360,2010,200,8-Jun,Open,Core academics,-105.0166699,39.7585383
West Denver Preparatory Charter School - Lake Campus,1820 Lowell Blvd.,"Denver, CO 80204",303-551-7200,2010,200,8-Jun,Open,Core academics,-105.035054,39.74578
Westgate Community School,11700 Irma Dr.,"Northglenn, CO 80233",303-452-0967,2009,150,K-8,Open,"Specializes in gifted learners, including twice-exceptional, visual-spatial, and highly/profoundly gifted learners whose needs diverge from traditional educational models.",-104.967349,39.908426
Windsor Charter Academy,680 Academy Ct.,"Windsor, CO 80550",970-674-5020,2001,272,K-8,Open,"Core Knowledge school utilizing solid, proven textbook-based curriculum, motivated teaching staff and a supportive environment with clearly defined behavioral expectations.",-104.88159,40.471932
Woodrow Wilson Academy,8300 W. 94th Ave.,"Westminster, CO 80021",303-431-3694,2000,499,PreK-8,Open,"Core Knowledge curriculum for literature, comprehensive social studies, music, fine arts and basic science curriculum. Use the Open Court Reading and Writing program.",-105.0919876,39.8670605
Wyatt-Edison Charter School,3620 Franklin St.,"Denver, CO 80205",303-292-5515,1998,692,K-8,Open,"Provides rigorous academics and technology, a longer school day and year and seeks to bring together research and best practices.",-104.9677729,39.76756
Youth and Family Academy Charter School,1920 Valley Dr.,"Pueblo, CO 81005",719-546-1740,1996,197,12-Jul,Open,"Targets at-risk youth who do not respond well to traditional educational services. Offers school-based, family centered support services through the Pueblo Youth Services Bureau.",-104.632114,38.310704
KIPP Academy Middle School,,"Denver, CO 80249",,2011,380,8-Jun,Approved,,-104.9847034,39.7391536
SOAR,4800 Telluride Street Building 4,"Denver, CO 80249",720-287-5100,2011,428,K-5,Approved,,-104.7795919,39.780147
Twin Peaks Charter Academy High School,820 Main St.,"Longmont, CO 80501",720-652-8201,2011,160,10-Sep,Approved,,-105.1024807,40.1726543
Achievement First Bridgeport Academy Elementary School,655 Stillman St.,"Bridgeport, CT 06608",203-464-1280,2010,100,K,Open,"Challenging core curriculum, extended school day/year, performance-based promotion and individualized learning plans. Will expand to K-4.",-73.1761333,41.1923628
Achievement First Bridgeport Academy Middle School,391 E. Washington Ave.,"Bridgeport, CT 06608",203-464-1280,2007,235,8-May,Open,"Challenging core curriculum, extended school day/year, performance-based promotion and individualized learning plans. Will expand to K-8.",-73.1859433,41.1860164
Achievement First Hartford - Middle,395 Lyme St.,"Hartford, CT 06112",860-695-5281,2008,84,7-May,Open,"Challenging core curriculum, extended school day/year, performance-based promotion and individualized learning plans. Will expand to K-8.",-72.7041692,41.8038075
Achievement First Hartford Academy - Elementary,395 Lyme St.,"Hartford, CT 06112",860-695-5281,2008,168,K-3,Open,"Challenging core curriculum, extended school day/year, performance-based promotion and individualized learning plans. Will expand to K-8.",-72.7041692,41.8038075
Amistad Academy High School,5 Science Park,"New Haven, CT 06511",203-772-1092,2006,125,11-Sep,Open,"Challenging core curriculum, extended school day/year, performance-based promotion, individualized learning plans, parent contracts. Will serve 9-12",-72.928985,41.3210088
Amistad Elementary Academy,540 Ella T. Grasso Blvd.,"New Haven, CT 06519",203-772-5621,2006,254,K-2,Open,"Challenging core curriculum, extended school day/year, performance-based promotion, individualized learning plans, parent contracts. Will expand to K-4, grade each year",-72.9478799,41.2934662
